symbol,ZSTAT,P
PRKG2,4.9351,4.0062e-07
MTERF4,4.1657,1.552e-05
MAP3K9,4.1174,1.9157e-05
SERPINH1,4.0871,2.184e-05
GIMAP8,4.0054,3.0951e-05
PBRM1,3.9296,4.2548e-05
GNL3,3.9273,4.2946e-05
SPCS1,3.9186,4.4529e-05
GLT8D1,3.9107,4.6022e-05
NT5DC2,3.8603,5.6618e-05
TIMP4,3.8089,6.9786e-05
PASK,3.8037,7.1289e-05
GDPD5,3.7616,8.44e-05
SYN2,3.7104,0.00010346
NEK4,3.709,0.00010406
SMIM4,3.6841,0.00011477
MYO6,3.627,0.00014337
SENP6,3.6211,0.00014669
ITIH1,3.6076,0.00015453
ALAS1,3.5685,0.00017951
ZNF432,3.5142,0.00022053
ZNF621,3.4842,0.00024684
ZNF614,3.4643,0.00026583
LOC101929748,3.4243,0.00030822
C5orf58,3.4124,0.00032196
ZNF841,3.3962,0.0003417
ITIH3,3.3851,0.0003558
SLC9A4,3.3806,0.00036168
ZNF615,3.3778,0.00036532
SALL2,3.371,0.00037447
CINP,3.3569,0.0003941
MSRB3,3.3505,0.00040337
RNF125,3.2942,0.00049356
GRIA4,3.2893,0.00050226
LCP2,3.284,0.00051173
ZNF649,3.2228,0.00063469
ZNF397,3.2096,0.00066469
TECPR2,3.1844,0.00072522
VPS11,3.1836,0.00072736
HYOU1,3.1819,0.00073148
GOSR2,3.1644,0.000777
ZNF350,3.1634,0.0007796
GUCY1A2,3.1625,0.00078202
ZNF274,3.1479,0.00082216
SAMD12,3.1478,0.00082258
IL1RL1,3.1425,0.00083767
ARF4,3.1166,0.00091472
SCAMP4,3.1133,0.00092503
DENND6A,3.0937,0.00098852
TLR9,3.093,0.00099083
PPM1M,3.093,0.00099083
PPP1R7,3.0815,0.0010297
HMBS,3.073,0.0010596
ADAT3,3.0716,0.0010646
ABHD17A,3.0618,0.0011002
ZNF620,3.0479,0.0011521
PRDX2,3.045,0.0011635
APP,3.0287,0.0012279
CDK8,3.0109,0.0013024
PDE12,2.9901,0.0013943
UBE2E3,2.9841,0.0014222
LUC7L,2.9779,0.0014512
OFCC1,2.9705,0.0014866
SNED1,2.9668,0.0015047
PTBP1,2.9565,0.0015559
SSFA2,2.9461,0.0016088
SLC7A10,2.917,0.0017669
NRBF2,2.9152,0.0017771
IL18RAP,2.9011,0.0018594
CENPM,2.9002,0.0018647
GPR139,2.892,0.0019143
SURF1,2.8878,0.0019398
ADRB1,2.8862,0.0019496
GLI2,2.8852,0.0019558
B3GALNT1,2.8842,0.0019622
