symbol,ZSTAT,P
SLC9A4,4.2961,8.6906e-06
GLT8D1,3.9223,4.3859e-05
GNL3,3.9145,4.5299e-05
SPCS1,3.9091,4.6327e-05
PBRM1,3.8727,5.3829e-05
NEK4,3.8621,5.6202e-05
ITIH1,3.8404,6.1418e-05
NT5DC2,3.7847,7.6961e-05
ITIH3,3.7625,8.4103e-05
SMIM4,3.5911,0.00016463
PABPC4L,3.5385,0.00020123
ITIH4,3.4365,0.00029469
PRKG2,3.4331,0.00029837
CRIM1,3.4244,0.00030809
GUCY1A2,3.384,0.00035717
MUSTN1,3.3781,0.00036498
USP34,3.3602,0.00038947
HIPK3,3.3507,0.00040307
NRBF2,3.3376,0.00042253
KCMF1,3.3279,0.00043755
XPO1,3.3243,0.00044315
TMEM110,3.3001,0.00048322
IL1RL1,3.2884,0.00050373
RNF6,3.285,0.00050986
TMEM110-MUSTN1,3.2803,0.00051847
IL18RAP,3.2761,0.00052633
LOC101929748,3.2711,0.00053564
PRDX2,3.2664,0.00054468
CDK8,3.2064,0.00067214
ZNF621,3.1956,0.00069767
CLSTN3,3.1243,0.00089128
RBP5,3.0827,0.0010257
IL18R1,3.0711,0.0010665
CYP2C19,3.068,0.0010775
COMP,3.067,0.001081
NUDT5,3.0549,0.0011257
TIAM2,3.0442,0.0011664
KIZ,3.0309,0.0012193
ALAS1,3.0136,0.0012908
SEC61A2,3.0094,0.0013088
SETD5,3.0075,0.0013169
C1RL,2.9985,0.0013567
C11orf86,2.9891,0.0013989
CLHC1,2.9883,0.0014028
APMAP,2.9814,0.0014347
ROBO2,2.9478,0.0016003
ZNF425,2.9451,0.0016141
SLC31A2,2.9449,0.0016152
ZNF786,2.9396,0.0016434
RCAN2,2.9111,0.0018009
RNASEH2A,2.9044,0.0018399
ZNF398,2.8979,0.0018783
CSTF3,2.8889,0.0019332
HNRNPA0,2.8882,0.0019372
FSTL3,2.8841,0.0019627
C4orf45,2.8833,0.0019677
ZNF620,2.8819,0.0019767
ASNA1,2.8766,0.0020098
BEST2,2.8766,0.0020098
C19orf43,2.8766,0.0020098
BAG1,2.8744,0.0020241
STK24,2.8518,0.0021737
STX8,2.8515,0.002176
TMEM204,2.8508,0.0021804
MTIF2,2.8465,0.0022101
RNF125,2.8419,0.0022422
RPS27A,2.8342,0.0022972
ZNF264,2.8321,0.002312
CST7,2.831,0.0023202
FAM114A1,2.8258,0.0023585
AURKC,2.8232,0.0023776
RNF126,2.8141,0.0024459
MTERF4,2.814,0.0024461
CLDN9,2.8017,0.0025413
NFX1,2.7975,0.0025751
MAP3K9,2.7867,0.0026621
PPM1M,2.7809,0.00271
TLR9,2.7809,0.00271
PTX4,2.7786,0.0027299
SPTLC3,2.7754,0.0027564
HRAS,2.7722,0.0027842
DHX8,2.7574,0.0029135
ZNF649,2.7566,0.0029205
ITGB3BP,2.7515,0.0029659
LUC7L,2.7505,0.0029748
RASSF7,2.7431,0.0030433
LRRC56,2.7346,0.0031226
TFB1M,2.7346,0.0031227
SNAP91,2.7319,0.0031481
TNFRSF12A,2.7296,0.0031709
GNA14,2.7282,0.0031839
CHMP5,2.7245,0.0032201
TIMP4,2.7189,0.0032746
