symbol,ZSTAT,P
GRIA4,3.7172,0.0001007
OBSL1,3.6317,0.00014079
INHA,3.5553,0.00018879
CCL24,3.5299,0.00020786
CHPF,3.5089,0.00022496
DEFB110,3.279,0.00052085
PDE9A,3.2053,0.00067457
PDYN,3.2049,0.00067545
DEFB112,3.1922,0.00070592
WDR35,3.1746,0.00075014
PTPRK,3.1481,0.00082157
SGCB,3.1474,0.00082353
USP18,3.1077,0.00094269
FGF17,3.1014,0.00096308
SPATA18,3.083,0.0010246
STX8,3.0806,0.001033
TMEM198,3.0735,0.0010577
ADARB1,3.0141,0.0012888
SDHAF3,2.9964,0.0013659
BCKDHB,2.9941,0.0013761
PDP1,2.9794,0.0014441
DUSP18,2.9747,0.0014665
CAPN2,2.9367,0.0016584
KCNJ12,2.936,0.0016625
ABO,2.9337,0.0016747
EHHADH,2.9181,0.0017608
PRR13,2.9014,0.0018575
SIPA1L2,2.8929,0.0019087
MAD1L1,2.8835,0.0019667
PTGIS,2.8737,0.0020288
ZNF836,2.8707,0.0020481
TRAK1,2.8625,0.0021013
AMHR2,2.8506,0.0021816
PCBP2,2.8454,0.0022177
TTC32,2.8416,0.0022445
MYO6,2.8404,0.0022529
LRRC66,2.8294,0.0023319
PALM2,2.8235,0.002375
SP1,2.8106,0.0024725
DEPTOR,2.8099,0.0024777
NPM2,2.8078,0.0024944
TMEM106B,2.7991,0.0025622
LMO7,2.7931,0.0026103
PACSIN3,2.7838,0.0026863
GUCY1A2,2.7804,0.0027146
STAU2,2.7751,0.0027596
DIABLO,2.7608,0.0028829
ACTR1A,2.7507,0.0029735
TMPRSS11A,2.7486,0.0029924
MEOX2,2.7473,0.0030042
HADH,2.7446,0.0030292
PRKG2,2.743,0.0030439
MAP3K12,2.7424,0.0030495
OSR1,2.7408,0.0030643
RPS27A,2.7375,0.0030953
MAP3K9,2.7354,0.0031152
IRX4,2.7278,0.003188
ZNF716,2.7239,0.0032258
SERPINH1,2.7195,0.0032692
C1orf110,2.7062,0.0034033
SMARCAL1,2.7036,0.0034292
TRAF5,2.7035,0.0034304
VPS33A,2.7021,0.0034449
GCLC,2.7008,0.0034585
PLSCR4,2.7001,0.0034655
SUFU,2.6942,0.0035275
ZMYND8,2.686,0.0036158
ATP10B,2.6846,0.0036303
SENP6,2.6825,0.003654
MTIF2,2.6816,0.0036639
SNRPB2,2.6716,0.0037743
CCDC63,2.6524,0.0039955
CMA1,2.6512,0.0040099
KIF20B,2.6496,0.0040292
DMTN,2.6426,0.0041135
FILIP1,2.6407,0.0041364
DKK1,2.6326,0.0042367
VMO1,2.6213,0.0043802
ARFGAP2,2.6188,0.0044123
NAMPT,2.6141,0.0044732
EXOC4,2.612,0.0045012
KIAA0907,2.6,0.0046615
UBE2N,2.5997,0.0046654
BCL11B,2.5946,0.0047347
OSBP2,2.5887,0.0048175
TYW5,2.5878,0.0048291
GLRX2,2.587,0.0048407
CCL26,2.5859,0.0048565
PLD2,2.5856,0.0048606
EXOC3L2,2.5853,0.0048646
C17orf102,2.5849,0.0048708
TP53BP2,2.5831,0.0048958
ANGPTL3,2.5802,0.0049367
CASKIN2,2.5802,0.0049371
TMEM220,2.5797,0.0049442
TMEM158,2.5796,0.0049457
KCNB1,2.5738,0.0050292
LRRC32,2.5694,0.0050944
ZNF274,2.5654,0.005153
SERHL2,2.5643,0.0051688
CLHC1,2.5616,0.0052097
MATN3,2.5573,0.0052748
RHD,2.5561,0.005292
RSRP1,2.5561,0.005292
SYF2,2.5561,0.005292
EPB41L3,2.5529,0.0053412
TSC22D1,2.5499,0.0053884
RRP7A,2.5495,0.0053945
ZNF397,2.5478,0.0054198
PIK3IP1,2.5448,0.0054671
RET,2.535,0.0056229
PTPN9,2.5308,0.0056904
TMEM180,2.5295,0.005711
DDX10,2.5279,0.0057371
PPOX,2.524,0.0058012
LOC101927029,2.5169,0.0059195
C2orf69,2.5155,0.0059429
KLHL20,2.5106,0.0060269
BPTF,2.5098,0.0060399
MAML3,2.5094,0.0060469
IRX1,2.5091,0.0060515
SIN3A,2.5071,0.0060859
RCOR3,2.5025,0.0061654
IL1RL2,2.5021,0.0061725
CYB5D2,2.5008,0.0061954
C2orf47,2.4995,0.0062186
HNRNPA3,2.4979,0.0062464
RHBDD2,2.4965,0.0062707
USP21,2.4963,0.0062754
KCNAB1,2.4932,0.0063296
CACUL1,2.4932,0.0063302
PPFIA2,2.4917,0.0063564
TMEM126B,2.491,0.0063685
SLC8A1,2.4897,0.0063925
CD69,2.4887,0.006411
LHX2,2.4868,0.0064442
DOCK7,2.4852,0.0064742
NPFF,2.4852,0.0064743
MMP26,2.4842,0.0064918
RXFP4,2.4812,0.0065473
TFB1M,2.4794,0.0065806
COLEC12,2.4773,0.0066183
MEIS2,2.4767,0.0066297
SYT14,2.4751,0.0066593
CKMT1A,2.4713,0.0067306
MSANTD1,2.4703,0.0067507
PPIB,2.4668,0.0068156
NFASC,2.4616,0.0069152
ARHGEF2,2.4498,0.0071463
ARL4C,2.4438,0.0072661
SCO1,2.4423,0.0072976
CITED2,2.442,0.0073027
CDC73,2.4391,0.0073617
SNX8,2.4366,0.0074129
OR51L1,2.435,0.0074452
KEAP1,2.4345,0.0074558
C10orf95,2.4318,0.0075123
UFC1,2.4315,0.0075191
USP1,2.4313,0.0075217
RNF17,2.4306,0.0075371
MARK4,2.4268,0.0076162
CLEC6A,2.4267,0.0076184
TIMP4,2.423,0.0076962
PCNXL2,2.4209,0.0077406
SNX22,2.4139,0.0078923
BBOX1,2.4138,0.0078929
YPEL5,2.4126,0.00792
EPDR1,2.4126,0.0079206
IYD,2.4095,0.0079879
PLXNA4,2.4062,0.0080604
LOC101929728,2.4014,0.0081667
ZNF766,2.4012,0.0081697
INA,2.3994,0.0082115
RIT1,2.3964,0.008278
ZNF396,2.3928,0.0083593
SFI1,2.3927,0.0083629
C4BPA,2.3918,0.008383
AMMECR1L,2.3914,0.0083917
COMP,2.3902,0.0084188
HEBP1,2.3894,0.0084383
PATZ1,2.386,0.0085166
UGGT1,2.3853,0.008533
ACAA1,2.3831,0.008583
TIAM2,2.3829,0.0085887
MKS1,2.3826,0.008595
ADPRM,2.3811,0.0086297
KCNJ4,2.3797,0.0086629
TSEN54,2.3772,0.008722
PDIA3,2.3764,0.008741
MTERF4,2.3754,0.0087658
CCDC83,2.3751,0.0087729
PROX1,2.3744,0.0087879
CENPL,2.3727,0.0088304
DMRTA2,2.3712,0.0088656
ZMAT5,2.3697,0.0089015
TH,2.367,0.008967
RHOA,2.3658,0.0089945
CCAR1,2.3638,0.009044
UQCR10,2.3634,0.0090534
TUBGCP4,2.3614,0.0091037
AKR7A3,2.3609,0.0091148
KRT8,2.3588,0.0091673
DENND5A,2.3567,0.0092199
PRSS3,2.3546,0.0092715
NPR3,2.3536,0.0092951
HMBS,2.353,0.0093111
DEDD,2.3522,0.0093318
USP4,2.3513,0.0093542
SERF2,2.3508,0.0093667
CENPM,2.3506,0.0093719
PPP2R1B,2.3478,0.0094413
HSBP1,2.3476,0.0094462
CREB5,2.3473,0.0094552
TCTA,2.3446,0.009523
CHRM3,2.3391,0.0096654
GSG1,2.3383,0.0096868
