symbol,ZSTAT,P
PTPRK,3.8092,6.9697e-05
GDPD5,3.6419,0.00013532
MTX3,3.5343,0.00020441
STAU2,3.5305,0.0002074
DSG3,3.5213,0.00021474
LOC101929748,3.4346,0.00029673
KLHL35,3.3147,0.00045869
TDRD3,3.3042,0.00047626
DPRX,3.3032,0.00047799
STIM1,3.248,0.00058107
LANCL1,3.247,0.0005831
NKAIN3,3.2241,0.00063177
CEP70,3.2093,0.0006652
KCNA5,3.1804,0.00073528
IP6K2,3.1804,0.00073548
C21orf59,3.1538,0.00080572
RPTOR,3.1481,0.00082156
C11orf96,3.1319,0.00086839
FAIM,3.129,0.00087689
GABRA1,3.1163,0.00091563
GIMAP6,3.1068,0.00094555
TBX4,3.0938,0.00098817
PCID2,3.0853,0.0010168
PROZ,3.0657,0.0010856
KRT40,3.0306,0.0012203
ANXA2R,3.0293,0.0012255
NCKIPSD,3.0068,0.0013199
APEH,2.9928,0.0013823
FOXN1,2.9902,0.0013937
KRT39,2.9775,0.0014531
CUL4A,2.9524,0.0015768
RHOG,2.9318,0.001685
AGMO,2.9274,0.0017091
RBM6,2.9212,0.0017432
ZBTB42,2.9061,0.0018297
PTPRO,2.898,0.0018775
PDYN,2.8709,0.0020468
SLC38A7,2.859,0.0021252
SEMA3F,2.8582,0.0021304
GRIA4,2.8559,0.0021455
C7orf25,2.8522,0.0021711
MRPL32,2.8502,0.0021843
C3orf62,2.8421,0.0022408
CPS1,2.8327,0.0023079
PIK3CB,2.8173,0.0024211
SMG9,2.8156,0.0024344
RAB12,2.8122,0.00246
BSN,2.8094,0.0024814
RBM5,2.8032,0.0025296
ESYT3,2.802,0.0025397
GUCY2C,2.8003,0.0025529
RARB,2.7901,0.0026344
BAHCC1,2.79,0.0026357
GATA5,2.7869,0.0026605
SERPINH1,2.7751,0.0027589
NREP,2.7674,0.0028251
GRID1,2.7672,0.0028272
MON1A,2.7658,0.0028388
SPATA32,2.74,0.003072
LRRC38,2.7367,0.0031031
CRTAC1,2.7322,0.0031455
GLP1R,2.7319,0.0031489
PSEN1,2.7177,0.0032865
PSMA2,2.7147,0.0033166
CXCL12,2.7121,0.0033428
MAP3K14,2.7095,0.0033697
OR10G3,2.7084,0.0033807
GNAT1,2.7072,0.0033925
MST1R,2.6987,0.0034807
CUL3,2.6743,0.0037446
PDZK1IP1,2.6673,0.0038231
SFMBT2,2.665,0.0038498
STARD10,2.6588,0.0039214
SUCLG2,2.654,0.0039774
CDK5R2,2.6536,0.0039818
PML,2.6474,0.0040553
USP4,2.6437,0.0041007
FOXRED2,2.6414,0.0041278
PTPRR,2.634,0.0042194
PROSER2,2.6265,0.004313
PLIN3,2.6234,0.004353
DEFB1,2.6211,0.0043822
WNT10A,2.6186,0.0044146
ACKR1,2.6131,0.0044867
RALYL,2.611,0.0045141
ZNF705A,2.608,0.004553
LRIG1,2.6064,0.004575
HDAC9,2.6062,0.0045781
HMBOX1,2.6012,0.0046445
RBM25,2.5941,0.0047415
RNF123,2.5906,0.0047902
COX7C,2.5815,0.0049183
STOML1,2.5775,0.0049752
CD180,2.5726,0.0050463
LOC100130370,2.5706,0.0050764
INPP4A,2.5701,0.0050834
HSD11B2,2.5604,0.0052279
ARAP1,2.5447,0.0054692
SYNJ1,2.542,0.0055108
ANO2,2.542,0.0055109
BMPR1A,2.5373,0.0055863
KLF14,2.5358,0.0056091
CEACAM16,2.5176,0.0059073
SPHK2,2.5037,0.0061452
KRT23,2.4996,0.0062173
HCRTR2,2.4942,0.0063116
ELOVL4,2.4923,0.0063454
STXBP6,2.4904,0.0063802
ZNF540,2.4857,0.0064655
FLI1,2.4822,0.0065284
GNAQ,2.4744,0.0066723
SLC4A4,2.4729,0.0067004
ZNF571,2.4707,0.0067417
SST,2.4648,0.0068539
CMA1,2.4603,0.0069409
CCDC36,2.458,0.0069849
GIMAP1,2.4574,0.0069983
KEL,2.4546,0.007052
ACTR2,2.4538,0.0070672
TAL1,2.4535,0.0070735
VGF,2.4491,0.0071613
CAMKV,2.4454,0.0072356
TCP10L,2.4442,0.0072583
HYOU1,2.4393,0.0073569
YLPM1,2.4312,0.0075237
VPS11,2.4292,0.0075654
GIMAP2,2.4277,0.0075971
NECAP1,2.4276,0.0075996
RTP2,2.4259,0.0076357
RRM1,2.4248,0.0076582
CA8,2.4233,0.0076898
SLC9A4,2.4214,0.0077301
HMBS,2.4212,0.0077355
IRX2,2.4205,0.00775
ZNF32,2.4199,0.0077625
SLC39A4,2.4146,0.0078764
TFAP2A,2.412,0.0079329
SLC38A3,2.4102,0.0079719
TIGD2,2.4101,0.007975
NAT16,2.4065,0.0080522
SENP6,2.4019,0.008156
VPS28,2.3981,0.0082411
KCNJ6,2.3954,0.0083021
PSMA4,2.3854,0.0085309
OIP5,2.3847,0.0085458
CARD11,2.3823,0.0086016
NLRP10,2.3809,0.0086354
MAP3K9,2.3806,0.0086433
SP4,2.3791,0.0086765
MBD4,2.3766,0.0087364
NUSAP1,2.3761,0.0087491
BCAS4,2.3756,0.0087597
MST1,2.3751,0.0087726
SFRP1,2.3725,0.0088351
ONECUT2,2.3706,0.0088804
HSD17B12,2.3704,0.0088851
EIF3F,2.364,0.0090394
SRSF2,2.3632,0.0090598
SCTR,2.3629,0.0090669
SPAG6,2.3582,0.0091815
TONSL,2.3546,0.0092721
TXN2,2.3542,0.0092816
