symbol,ZSTAT,P
DNASE1,3.8611,5.6433e-05
SLX4,3.8047,7.098e-05
ZNF574,3.475,0.00025539
NLRC3,3.4662,0.00026396
FAM73B,3.4542,0.00027596
ZNF547,3.4526,0.0002776
SLC35G5,3.4455,0.00028505
TNFSF11,3.4433,0.00028732
TSC2,3.424,0.00030854
GRIK5,3.4101,0.00032465
PWWP2A,3.3843,0.00035684
ZNF304,3.2955,0.00049121
CD226,3.2693,0.00053905
TRA2B,3.2558,0.0005654
OSTC,3.2554,0.00056625
MTMR9,3.2427,0.00059212
GALNT6,3.2311,0.00061652
TRAP1,3.2229,0.00063448
SH3GLB2,3.1888,0.00071442
JAG1,3.1693,0.0007641
C14orf142,3.1464,0.00082638
PSRC1,3.144,0.00083332
ACTBL2,3.132,0.00086809
STAB1,3.1196,0.00090536
ZNF17,3.1116,0.00093031
MEIS1,3.099,0.00097101
KBTBD13,3.0976,0.00097537
SLC51B,3.0763,0.0010479
NISCH,3.0602,0.0011058
RASL12,3.0593,0.0011092
FAN1,3.0532,0.0011322
ZAK,3.0219,0.0012559
TNNC1,3.0197,0.001265
SEMA3G,3.0133,0.0012922
SLC9A3R2,2.9849,0.0014184
THUMPD2,2.975,0.001465
FABP6,2.9616,0.0015303
ZNF548,2.9605,0.0015356
MTFMT,2.9595,0.0015407
CRY2,2.9594,0.001541
C11orf87,2.9483,0.0015976
BRD3,2.9393,0.001645
POU2F2,2.9258,0.0017181
UBR7,2.9171,0.0017663
SPICE1,2.9017,0.0018554
SRL,2.9004,0.0018634
ZNF749,2.8991,0.0018714
C7orf25,2.893,0.001908
MRPL32,2.8905,0.0019231
MASP1,2.8747,0.0020219
ARNTL,2.8734,0.0020307
JAKMIP1,2.8678,0.0020667
ZNF543,2.8612,0.0021104
NIN,2.8499,0.0021867
PADI1,2.8442,0.0022262
RANBP17,2.8435,0.0022308
CHAC2,2.8408,0.0022501
PABPN1,2.8395,0.0022589
GLIS2,2.8361,0.0022832
FAM26F,2.8319,0.0023134
CPNE4,2.8147,0.0024414
GPX3,2.8138,0.0024478
STEAP1,2.8125,0.0024582
PPP1R3E,2.8087,0.0024871
RRH,2.8078,0.0024937
HDHD3,2.8015,0.0025435
MOAP1,2.7993,0.0025609
BCL2L2-PABPN1,2.7962,0.0025854
ALDH3A2,2.7905,0.0026312
ARC,2.7782,0.0027333
FAM179A,2.7752,0.0027586
SAMD5,2.762,0.0028724
SHB,2.7567,0.0029196
LAMA2,2.7535,0.0029483
TMEM218,2.7322,0.0031453
BCL2L2,2.7204,0.0032601
PMS1,2.7035,0.003431
VOPP1,2.7005,0.0034622
CD8B,2.6962,0.0035072
DOLPP1,2.695,0.0035199
FILIP1,2.6888,0.0035855
PPARA,2.6745,0.0037422
MUC6,2.6727,0.0037621
SNTB1,2.6714,0.0037771
PSMA2,2.6686,0.0038088
ATP5G3,2.6467,0.0040645
SERP2,2.6392,0.0041553
APCDD1L,2.6334,0.0042268
OR1L3,2.6197,0.0044003
MAPK8IP1,2.6166,0.0044408
C6orf223,2.612,0.0045006
KIAA1429,2.6092,0.0045383
TTC6,2.6068,0.0045699
STEAP2,2.6052,0.0045904
RPS27,2.5951,0.0047285
CELA1,2.5882,0.0048237
APIP,2.5871,0.00484
TMEM178A,2.5859,0.0048564
IL1B,2.5845,0.0048763
OR1L1,2.5812,0.0049223
TTC9,2.5731,0.0050393
WIZ,2.565,0.0051581
FARS2,2.5634,0.0051821
MRFAP1,2.5612,0.0052163
