symbol,ZSTAT,P
LOC101929748,4.0381,2.6941e-05
ZBTB42,3.9231,4.3711e-05
FILIP1,3.8165,6.7676e-05
TIMP4,3.6114,0.00015228
SENP6,3.607,0.00015487
PWWP2A,3.5789,0.00017249
COX7C,3.5452,0.00019613
GRIA4,3.5413,0.00019909
THUMPD2,3.532,0.00020622
SYN2,3.526,0.00021093
PRKG1,3.4975,0.00023486
MAP3K9,3.4859,0.00024528
GDPD5,3.4723,0.000258
MZF1,3.4347,0.00029656
UBE2M,3.3863,0.00035424
CHMP2A,3.3679,0.0003787
TRA2B,3.2941,0.00049365
RAB12,3.2721,0.00053382
DHPS,3.2641,0.00054911
FBXW9,3.2641,0.00054911
C7orf25,3.2323,0.00061398
MRPL32,3.2279,0.00062354
RPS6KC1,3.0957,0.00098171
SRXN1,3.0369,0.0011949
ZNF420,3.0291,0.0012264
AKT1,3.0283,0.0012298
SAMD12,3.0076,0.0013165
GABRA1,3.0026,0.0013385
TNPO2,2.9999,0.0013502
ZNF568,2.9941,0.0013763
KLHL35,2.9895,0.0013971
PSMA2,2.9868,0.0014096
SERPINH1,2.9862,0.0014123
ZNF585A,2.9803,0.0014397
ATG4B,2.9736,0.0014715
SPG21,2.9691,0.0014931
CYP4F3,2.9651,0.001513
URB1,2.9414,0.0016336
TRDN,2.9402,0.00164
SEC61A2,2.9396,0.0016432
SCN8A,2.9129,0.0017907
NUDT5,2.8977,0.0018793
SCRT2,2.8824,0.0019734
PRKG2,2.8573,0.0021365
NAT1,2.841,0.0022484
CLUH,2.8363,0.0022818
TSC22D1,2.8283,0.0023399
WIZ,2.7802,0.0027164
HYOU1,2.7761,0.0027508
GABRA2,2.773,0.0027773
VPS11,2.772,0.0027858
TMEM181,2.7617,0.0028747
TRPM4,2.7541,0.002943
HMBS,2.7436,0.0030382
HSPA8,2.7395,0.003077
MTX3,2.732,0.0031478
KATNAL2,2.7284,0.0031819
USP18,2.7208,0.0032563
LANCL1,2.7192,0.0032716
FCRL3,2.7176,0.0032881
TCEB3CL2,2.7152,0.0033118
PTPRO,2.7054,0.0034106
MTFMT,2.6993,0.0034741
ARL3,2.6985,0.003483
ANGEL2,2.6969,0.0034993
TRIM28,2.6952,0.0035178
IRX2,2.694,0.0035301
MARK2,2.6892,0.0035812
KRT37,2.683,0.0036483
TCEB3CL,2.6812,0.0036684
HRC,2.6789,0.0036928
NAMPT,2.6768,0.0037165
SYNJ2,2.6726,0.0037628
TMEM180,2.6661,0.0038366
SFXN2,2.6635,0.0038662
PTPRK,2.6615,0.0038899
IRS1,2.661,0.0038951
TRPA1,2.6439,0.0040976
MYO6,2.6398,0.0041484
CD180,2.6298,0.0042712
C10orf95,2.629,0.004282
DDX60L,2.6205,0.0043907
CUEDC2,2.6164,0.0044425
TCEB3C,2.6128,0.0044905
CRTAC1,2.6109,0.0045146
TCEB3B,2.6053,0.0045903
GUCY2C,2.5988,0.004677
GNPDA2,2.5976,0.0046933
RPS10,2.5875,0.0048336
CDC25C,2.586,0.0048543
SPATA32,2.5831,0.0048961
RAB7A,2.5715,0.0050626
AGMO,2.568,0.0051146
RASAL3,2.5631,0.0051876
BCAS3,2.5567,0.0052841
SFMBT2,2.5566,0.0052855
MAML2,2.5566,0.0052857
UCP2,2.5559,0.0052957
UGGT1,2.5534,0.0053343
ACTR2,2.5522,0.0053515
ATAD3A,2.547,0.0054329
MAP3K14,2.545,0.0054637
DMTF1,2.5447,0.0054689
PIAS2,2.5427,0.0055004
ZNF518B,2.5423,0.0055058
WDR83OS,2.5388,0.005562
LOC100134391,2.5375,0.0055831
KRT38,2.5289,0.0057207
DNASE1,2.5256,0.0057754
YPEL2,2.523,0.0058172
CYP4F8,2.5224,0.0058284
MFSD10,2.5184,0.0058936
TMEM178A,2.5005,0.0062011
RNASE6,2.4994,0.0062207
TBC1D21,2.4977,0.0062502
CCL22,2.4952,0.0062945
CEP70,2.4951,0.0062967
SLX4,2.4948,0.0063019
IRX1,2.4935,0.0063241
MSI1,2.4924,0.006344
SREK1IP1,2.4892,0.0064014
ADRB1,2.4874,0.0064336
CD8A,2.4856,0.006467
F11,2.4848,0.0064808
TMEM243,2.4846,0.0064852
TDRD3,2.4845,0.0064875
FAM53C,2.4798,0.0065727
OR4K17,2.4751,0.0066609
FMNL1,2.4685,0.0067848
POFUT2,2.4683,0.0067882
PLSCR4,2.4679,0.0067958
FAM163A,2.4654,0.0068439
EDDM3B,2.465,0.0068501
ERC2,2.4641,0.0068678
PROSER2,2.4573,0.0069988
C16orf72,2.4552,0.0070404
MRPS33,2.451,0.0071233
HSD17B12,2.4494,0.0071553
GFRA3,2.4483,0.0071774
ZNF385D,2.4472,0.0071994
PAX4,2.4413,0.0073166
FAIM,2.4351,0.0074448
LOC101060179,2.431,0.0075289
