phenotype,band,score,roi_set,n_target,diff,z_vs_null,p_spin,p_fdr
alphaCz,alpha-power,continuous,full,82,0.005913771610579735,1.9754263700129608,0.021897810218978103,0.16878312168783122
alphaOcc,alpha-power,continuous,full,82,0.0017101375364769879,0.8659798037682073,0.20307969203079693,0.3249275072492751
betaCz,control,continuous,full,82,0.0031731856648436157,1.2174595896092044,0.1232876712328767,0.2827353628273537
deltaCz,control,continuous,full,82,0.003356450680551965,0.9863403660195645,0.1678832116788321,0.31030743079538203
peakOcc,alpha-frequency,continuous,full,82,0.002614154648203568,1.162779079579454,0.12958704129587043,0.2827353628273537
thetaCz,control,continuous,full,82,0.0028821370348828144,1.6829247305789845,0.041695830416958304,0.16878312168783122
alphaCz,alpha-power,continuous,hub,6,0.007405668042452473,1.232808354900172,0.11068893110688931,0.2827353628273537
alphaOcc,alpha-power,continuous,hub,6,0.004957887638065593,0.8525145375276321,0.19768023197680232,0.3249275072492751
betaCz,control,continuous,hub,6,0.004186510985717498,0.7217311615409877,0.23677632236776322,0.35516448355164487
deltaCz,control,continuous,hub,6,-0.002634610362224699,-0.5313382498583505,0.6952304769523048,0.8339737454825945
peakOcc,alpha-frequency,continuous,hub,6,0.005680885741871233,1.0044061112415446,0.1680831916808319,0.31030743079538203
thetaCz,control,continuous,hub,6,-0.002196355185754365,-0.5556659934697501,0.6855314468553144,0.8339737454825945
alphaCz,alpha-power,top100,full,82,0.06017230678614483,1.7740334167946166,0.030096990300969902,0.16878312168783122
alphaOcc,alpha-power,top100,full,82,0.08887087319283953,2.284891921995707,0.007999200079992,0.12718728127187282
betaCz,control,top100,full,82,0.06545257432655081,2.126350425379004,0.0105989401059894,0.12718728127187282
deltaCz,control,top100,full,82,0.05609410149797177,1.6235050034908534,0.042195780421957804,0.16878312168783122
peakOcc,alpha-frequency,top100,full,82,0.08218678525674808,1.719928939812492,0.0660933906609339,0.22660591083748766
thetaCz,control,top100,full,82,0.05113671539523626,1.3246999793610765,0.07899210078992101,0.23697630236976305
alphaCz,alpha-power,top100,hub,6,-0.06937098536286244,-0.6669150047076381,0.7297270272972702,0.8339737454825945
alphaOcc,alpha-power,top100,hub,6,-0.11587658397204546,-1.2224760179747565,0.8865113488651135,0.8865113488651135
betaCz,control,top100,hub,6,-0.08117495212559617,-0.96114553183408,0.8405159484051595,0.877060120074949
deltaCz,control,top100,hub,6,-0.04884746709210496,-0.38273499923515314,0.6379362063793621,0.8339737454825945
peakOcc,alpha-frequency,top100,hub,6,-0.10849379651737581,-0.8689622833079582,0.7934206579342066,0.8655498086554981
thetaCz,control,top100,hub,6,-0.004068199340055436,0.058365392615594404,0.45335466453354667,0.6400301146355952
