GENE,CHR,START,STOP,NSNPS,NPARAM,N,ZSTAT,P,symbol,P_bonf,P_fdr
101929748,9,95557667,95605649,103,14,7669,4.0381,2.6941e-05,LOC101929748,0.48633893199999995,0.3582627692307692
100128927,14,105231933,105281049,12,4,6777,3.9231,4.3711e-05,ZBTB42,0.7890709720000001,0.3582627692307692
27145,6,75994607,76238516,264,11,7959,3.8165,6.7676e-05,FILIP1,1.0,0.3582627692307692
7079,3,12184568,12235851,53,6,7871,3.6114,0.00015228,TIMP4,1.0,0.3582627692307692
26054,6,76276596,76437997,262,10,7726,3.607,0.00015487,SENP6,1.0,0.3582627692307692
114825,5,159492889,159581452,95,9,7612,3.5789,0.00017249,PWWP2A,1.0,0.3582627692307692
1350,5,85878784,85926583,9,2,7037,3.5452,0.00019613,COX7C,1.0,0.3582627692307692
2893,11,105445800,105862819,567,25,7987,3.5413,0.00019909,GRIA4,1.0,0.3582627692307692
80745,2,39953200,40041416,130,4,7664,3.532,0.00020622,THUMPD2,1.0,0.3582627692307692
6854,3,12147150,12243532,112,9,7862,3.526,0.00021093,SYN2,1.0,0.3582627692307692
5592,10,52715911,54068110,3058,157,7781,3.4975,0.00023486,PRKG1,1.0,0.3582627692307692
4293,14,71179243,71310912,302,15,8053,3.4859,0.00024528,MAP3K9,1.0,0.3582627692307692
81544,11,75135683,75271991,223,17,7931,3.4723,0.000258,GDPD5,1.0,0.3582627692307692
7593,19,59063284,59120757,37,5,7587,3.4347,0.00029656,MZF1,1.0,0.38239293714285716
9040,19,59057079,59105343,42,5,7590,3.3863,0.00035424,UBE2M,1.0,0.42631603200000007
27243,19,59052933,59101495,44,6,7597,3.3679,0.0003787,CHMP2A,1.0,0.427268275
6434,3,185622356,185690924,132,17,7674,3.2941,0.00049365,TRA2B,1.0,0.49562668600000004
201475,18,8574443,8649380,231,25,7868,3.2721,0.00053382,RAB12,1.0,0.49562668600000004
1725,19,12776531,12827701,2,1,7054,3.2641,0.00054911,DHPS,1.0,0.49562668600000004
84261,19,12789730,12842649,2,1,7054,3.2641,0.00054911,FBXW9,1.0,0.49562668600000004
79020,7,42938223,42986689,82,3,7696,3.2323,0.00061398,C7orf25,1.0,0.5116429127272727
64983,7,42936804,42987456,84,4,7687,3.2279,0.00062354,MRPL32,1.0,0.5116429127272727
26750,1,213189588,213456808,107,4,7761,3.0957,0.00098171,RPS6KC1,1.0,0.7381804324324324
140809,20,617259,669014,74,10,7167,3.0369,0.0011949,SRXN1,1.0,0.7381804324324324
147923,19,37534319,37631221,157,5,8021,3.0291,0.0012264,ZNF420,1.0,0.7381804324324324
207,14,105225686,105297080,19,5,6761,3.0283,0.0012298,AKT1,1.0,0.7381804324324324
401474,8,119191694,119669184,895,55,7758,3.0076,0.0013165,SAMD12,1.0,0.7381804324324324
2554,5,161239197,161336965,189,14,7969,3.0026,0.0013385,GABRA1,1.0,0.7381804324324324
30000,19,12800008,12869838,4,2,6810,2.9999,0.0013502,TNPO2,1.0,0.7381804324324324
374900,19,37372231,37498834,384,11,8144,2.9941,0.0013763,ZNF568,1.0,0.7381804324324324
283212,11,75123438,75176674,69,8,8038,2.9895,0.0013971,KLHL35,1.0,0.7381804324324324
5683,7,42946460,43006805,109,7,7813,2.9868,0.0014096,PSMA2,1.0,0.7381804324324324
871,11,75238101,75293849,105,13,7568,2.9862,0.0014123,SERPINH1,1.0,0.7381804324324324
199704,19,37628340,37698643,68,6,7849,2.9803,0.0014397,ZNF585A,1.0,0.7381804324324324
23192,2,242541775,242623272,5,1,6264,2.9736,0.0014715,ATG4B,1.0,0.7381804324324324
51324,15,65245363,65317251,63,2,7608,2.9691,0.0014931,SPG21,1.0,0.7381804324324324
4051,19,15716701,15781570,381,18,7892,2.9651,0.001513,CYP4F3,1.0,0.7381804324324324
9875,21,33673330,33800312,222,11,7746,2.9414,0.0016336,URB1,1.0,0.74157616
10345,6,123527484,123993428,998,46,7779,2.9402,0.00164,TRDN,1.0,0.74157616
55176,10,12136640,12221957,155,10,8059,2.9396,0.0016432,SEC61A2,1.0,0.74157616
6334,12,51949050,52216648,252,12,7780,2.9129,0.0017907,SCN8A,1.0,0.7884321073170732
11164,10,12199573,12273143,107,13,7712,2.8977,0.0018793,NUDT5,1.0,0.8077410380952381
85508,20,632240,691823,86,13,7208,2.8824,0.0019734,SCRT2,1.0,0.8284608558139536
5593,4,81998643,82171271,283,17,7485,2.8573,0.0021365,PRKG2,1.0,0.8765476818181818
9,8,17992971,18091198,279,20,7642,2.841,0.0022484,NAT1,1.0,0.8954576869565217
23277,17,2582680,2650053,41,7,7145,2.8363,0.0022818,CLUH,1.0,0.8954576869565217
8848,13,44996279,45185701,245,8,8094,2.8283,0.0023399,TSC22D1,1.0,0.8987207404255317
58525,19,15522318,15595767,47,8,6777,2.7802,0.0027164,WIZ,1.0,0.9131733142857142
10525,11,118904896,118962951,88,5,8020,2.7761,0.0027508,HYOU1,1.0,0.9131733142857142
2555,4,46236470,46427056,255,10,7955,2.773,0.0027773,GABRA2,1.0,0.9131733142857142
55823,11,118903493,118962688,89,5,8008,2.772,0.0027858,VPS11,1.0,0.9131733142857142
57583,6,158922468,159066467,329,23,7612,2.7617,0.0028747,TMEM181,1.0,0.9131733142857142
54795,19,49626016,49725098,126,10,7500,2.7541,0.002943,TRPM4,1.0,0.9131733142857142
3145,11,118920587,118974259,87,6,7956,2.7436,0.0030382,HMBS,1.0,0.9131733142857142
3312,11,122918200,122968074,92,6,7578,2.7395,0.003077,HSPA8,1.0,0.9131733142857142
345778,5,79262539,79322088,98,9,7926,2.732,0.0031478,MTX3,1.0,0.9131733142857142
83473,18,44462565,44638614,251,14,7965,2.7284,0.0031819,KATNAL2,1.0,0.9131733142857142
11274,22,18597758,18670164,64,9,6810,2.7208,0.0032563,USP18,1.0,0.9131733142857142
10314,2,211285973,211377347,184,11,7888,2.7192,0.0032716,LANCL1,1.0,0.9131733142857142
115352,1,157636271,157705775,138,12,7572,2.7176,0.0032881,FCRL3,1.0,0.9131733142857142
100506888,18,44532731,44579607,60,6,7827,2.7152,0.0033118,TCEB3CL2,1.0,0.9131733142857142
5800,12,15440191,15761265,392,27,7837,2.7054,0.0034106,PTPRO,1.0,0.9131733142857142
123263,15,65283850,65356977,64,6,7606,2.6993,0.0034741,MTFMT,1.0,0.9131733142857142
403,10,104423484,104509190,111,11,7983,2.6985,0.003483,ARL3,1.0,0.9131733142857142
90806,1,213155524,213224168,34,3,7455,2.6969,0.0034993,ANGEL2,1.0,0.9131733142857142
10155,19,59020824,59072087,34,5,7367,2.6952,0.0035178,TRIM28,1.0,0.9131733142857142
153572,5,2736279,2786769,130,11,7694,2.694,0.0035301,IRX2,1.0,0.9131733142857142
2011,11,63571400,63688492,124,9,7555,2.6892,0.0035812,MARK2,1.0,0.9131733142857142
8688,17,39566809,39615822,184,10,8169,2.683,0.0036483,KRT37,1.0,0.9131733142857142
728929,18,44538658,44585298,64,6,7810,2.6812,0.0036684,TCEB3CL,1.0,0.9131733142857142
3270,19,49644455,49693686,84,6,7655,2.6789,0.0036928,HRC,1.0,0.9131733142857142
10135,7,105878731,105961373,114,11,7586,2.6768,0.0037165,NAMPT,1.0,0.9131733142857142
8871,6,158367888,158530208,458,39,7804,2.6726,0.0037628,SYNJ2,1.0,0.9131733142857142
79847,10,104186149,104249546,118,11,7764,2.6661,0.0038366,TMEM180,1.0,0.9131733142857142
118980,10,104439298,104508947,90,9,8014,2.6635,0.0038662,SFXN2,1.0,0.9131733142857142
5796,6,128279924,128876870,462,30,7826,2.6615,0.0038899,PTPRK,1.0,0.9131733142857142
3667,2,227586033,227699545,102,10,7431,2.661,0.0038951,IRS1,1.0,0.9131733142857142
8989,8,72923486,73022819,360,28,8002,2.6439,0.0040976,TRPA1,1.0,0.921464544469615
4646,6,76423893,76639254,286,15,7535,2.6398,0.0041484,MYO6,1.0,0.921464544469615
4064,5,66467205,66527617,66,10,7355,2.6298,0.0042712,CD180,1.0,0.921464544469615
79946,10,104199594,104246300,83,8,7645,2.629,0.004282,C10orf95,1.0,0.921464544469615
91351,4,169267886,169436665,529,33,7938,2.6205,0.0043907,DDX60L,1.0,0.921464544469615
79004,10,104173002,104227423,61,14,7741,2.6164,0.0044425,CUEDC2,1.0,0.921464544469615
162699,18,44544573,44591449,64,5,7827,2.6128,0.0044905,TCEB3C,1.0,0.921464544469615
55118,10,99614757,99825585,277,28,7807,2.6109,0.0045146,CRTAC1,1.0,0.921464544469615
51224,18,44548943,44596988,74,6,7783,2.6053,0.0045903,TCEB3B,1.0,0.921464544469615
2984,12,14755566,14884519,131,9,7897,2.5988,0.004677,GUCY2C,1.0,0.921464544469615
132789,4,44684190,44763651,134,5,7241,2.5976,0.0046933,GNPDA2,1.0,0.921464544469615
6204,6,34375231,34428902,60,6,6664,2.5875,0.0048336,RPS10,1.0,0.921464544469615
995,5,137610959,137709064,129,10,7844,2.586,0.0048543,CDC25C,1.0,0.921464544469615
124783,17,43321760,43374479,65,7,7773,2.5831,0.0048961,SPATA32,1.0,0.921464544469615
7879,3,128409975,128543641,241,15,7918,2.5715,0.0050626,RAB7A,1.0,0.921464544469615
392636,7,15229943,15636640,898,53,7511,2.568,0.0051146,AGMO,1.0,0.921464544469615
64926,19,15552435,15610382,52,8,6776,2.5631,0.0051876,RASAL3,1.0,0.921464544469615
54828,17,58720172,59480199,658,38,7821,2.5567,0.0052841,BCAS3,1.0,0.921464544469615
57713,10,7190586,7488448,612,40,7719,2.5566,0.0052855,SFMBT2,1.0,0.921464544469615
84441,11,95701440,96111344,886,86,7797,2.5566,0.0052857,MAML2,1.0,0.921464544469615
