GENE       CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P
401934       1     997126    1044687     65       6  7329      0.43533      0.33166
54991        1    1007198    1086736    107       6  7582      0.88197       0.1889
254173       1    1074286    1143315     81       8  6795      0.16012      0.43639
8784         1    1128888    1177163    131       5  7516     -0.18524      0.57348
126792       1    1132629    1180421    122       4  7593     0.065778      0.47378
7293         1    1136706    1184703    116       3  7692      0.22874      0.40953
51150        1    1142288    1202447    121       4  7636       0.4482        0.327
388581       1    1167826    1217102     43       4  7098       1.2777      0.10067
118424       1    1179292    1244234     24       4  6759       1.5763     0.057482
6339         1    1180816    1237409     23       4  6747       1.5985     0.054962
126789       1    1208962    1257057     10       1  6733       1.0271      0.15218
116983       1    1217764    1278304      1       1  6354      0.72933       0.2329
54973        1    1236965    1295067      8       1  7093     -0.65393      0.74342
1855         1    1260658    1319509     26       1  7080      -1.0528      0.85379
54587        1    1278071    1332183     28       1  7077      -1.0793      0.85977
54998        1    1299110    1345818     18       1  7051     -0.96039      0.83157
81669        1    1311091    1369718     16       1  7051     -0.98097       0.8367
643965       1    1326508    1373167      4       1  7051     -0.68871       0.7545
55052        1    1327276    1377693      4       1  7051     -0.68871       0.7545
64856        1    1335903    1388262      2       1  7050     -0.74396      0.77155
55210        1    1412523    1480067      5       1  7000       1.7317     0.041663
339453       1    1460158    1510740     35       2  6830       1.5917     0.055723
29101        1    1467053    1545262     37       2  6824       1.5908     0.055825
9906         1    1646277    1712438     27       4  7439      -2.0753      0.98102
65220        1    1672671    1746508     48       5  7608      -1.8631      0.96878
2782         1    1706725    1857552    132       8  7543      -1.3993      0.91914
163688       1    1811266    1858733     65       5  7318      -1.0208      0.84633
339456       1    1839029    1885740     62       4  7030     -0.59141      0.72288
85452        1    1843390    1970276     63       5  7095     -0.70541      0.75972
5590         1    1946909    2126834    243      16  7320     -0.22511      0.58905
100506504    1    2103250    2150812     39       6  7307      0.75886      0.22397
199990       1    2105899    2179159     78      12  7365      0.98486      0.16235
6497         1    2125134    2251652    161      22  7246      0.79646      0.21288
79906        1    2241719    2358190    202      27  7213      0.46782      0.31996
11079        1    2288214    2346883    101      19  7184      0.17273      0.43143
5192         1    2326241    2379010     34       7  7001     -0.65751      0.74457
9651         1    2372754    2446964     62       6  7009      0.22597      0.41061
55229        1    2429975    2493061     79       6  7159     -0.48969      0.68782
388585       1    2450184    2496684     45       5  7320     -0.51086      0.69528
8764         1    2452291    2505268     60       4  7580     -0.71071      0.76137
127281       1    2482899    2532908     90       4  7993     -0.79216      0.78587
79258        1    2512078    2599499    130       4  8002     -0.30898      0.62133
100287898    1    2562807    2741230     62       4  7577    0.0014394      0.49943
140625       1    2903046    2949467    132       3  7659      0.65813      0.25523
63976        1    2950565    3365185    778      81  7464     -0.70444      0.75942
27237        1    3336147    3407677    100       7  7211       1.0745      0.14129
1953         1    3394506    3563059    205      33  6807      0.42413      0.33574
127262       1    3506556    3556695     54      11  7131      -0.7935      0.78626
