GENE,CHR,START,STOP,NSNPS,NPARAM,N,ZSTAT,P,symbol,P_bonf,P_fdr
5796,6,128279924,128876870,462,30,7826,3.8092,6.9697e-05,PTPRK,1.0,0.775297296
81544,11,75135683,75271991,223,17,7931,3.6419,0.00013532,GDPD5,1.0,0.775297296
345778,5,79262539,79322088,98,9,7926,3.5343,0.00020441,MTX3,1.0,0.775297296
27067,8,74322604,74694943,701,25,7829,3.5305,0.0002074,STAU2,1.0,0.775297296
1830,18,28992732,29068665,161,12,7913,3.5213,0.00021474,DSG3,1.0,0.775297296
101929748,9,95557667,95605649,103,14,7669,3.4346,0.00029673,LOC101929748,1.0,0.7980553739130435
283212,11,75123438,75176674,69,8,8038,3.3147,0.00045869,KLHL35,1.0,0.7980553739130435
81550,13,60935591,61158013,365,19,7825,3.3042,0.00047626,TDRD3,1.0,0.7980553739130435
503834,19,54100310,54150263,27,8,6787,3.3032,0.00047799,DPRX,1.0,0.7980553739130435
6786,11,3841933,4124440,466,24,7715,3.248,0.00058107,STIM1,1.0,0.7980553739130435
10314,2,211285973,211377347,184,11,7888,3.247,0.0005831,LANCL1,1.0,0.7980553739130435
286183,8,63126501,63922211,1770,48,7912,3.2241,0.00063177,NKAIN3,1.0,0.7980553739130435
80321,3,138203186,138348187,141,3,7996,3.2093,0.0006652,CEP70,1.0,0.7980553739130435
3741,12,5118085,5165954,131,23,7775,3.1804,0.00073528,KCNA5,1.0,0.7980553739130435
51447,3,48715436,48789711,72,5,7736,3.1804,0.00073548,IP6K2,1.0,0.7980553739130435
56683,21,33963977,34020174,88,10,8026,3.1538,0.00080572,C21orf59,1.0,0.7980553739130435
57521,17,78483625,78950173,1455,50,7899,3.1481,0.00082156,RPTOR,1.0,0.7980553739130435
387763,11,43929106,43975433,106,19,7519,3.1319,0.00086839,C11orf96,1.0,0.7980553739130435
55179,3,138292542,138362218,65,3,7927,3.129,0.00087689,FAIM,1.0,0.7980553739130435
2554,5,161239197,161336965,189,14,7969,3.1163,0.00091563,GABRA1,1.0,0.7980553739130435
474344,7,150312463,150364736,181,13,8130,3.1068,0.00094555,GIMAP6,1.0,0.7980553739130435
9496,17,59494134,59572471,116,17,7416,3.0938,0.00098817,TBX4,1.0,0.7980553739130435
55795,13,113821853,113898335,102,2,7802,3.0853,0.0010168,PCID2,1.0,0.7980553739130435
8858,13,113777968,113836698,59,5,7519,3.0657,0.0010856,PROZ,1.0,0.8165521333333332
125115,17,39123968,39178387,101,4,6604,3.0306,0.0012203,KRT40,1.0,0.8508740769230769
389289,5,43029182,43075447,49,6,7635,3.0293,0.0012255,ANXA2R,1.0,0.8508740769230769
51517,3,48690419,48758366,66,4,7900,3.0068,0.0013199,NCKIPSD,1.0,0.8675542206896552
327,3,49676427,49730936,47,4,7837,2.9928,0.0013823,APEH,1.0,0.8675542206896552
8456,17,26798249,26875175,81,8,7541,2.9902,0.0013937,FOXN1,1.0,0.8675542206896552
390792,17,39104669,39158144,146,6,6853,2.9775,0.0014531,KRT39,1.0,0.8743787066666666
8451,13,113827507,113929392,120,3,7807,2.9524,0.0015768,CUL4A,1.0,0.8835520275862068
391,11,3838208,3897213,119,17,7279,2.9318,0.001685,RHOG,1.0,0.8835520275862068
392636,7,15229943,15636640,898,53,7511,2.9274,0.0017091,AGMO,1.0,0.8835520275862068
10180,3,49942474,50124685,225,10,7929,2.9212,0.0017432,RBM6,1.0,0.8835520275862068
100128927,14,105231933,105281049,12,4,6777,2.9061,0.0018297,ZBTB42,1.0,0.8835520275862068
5800,12,15440191,15761265,392,27,7837,2.898,0.0018775,PTPRO,1.0,0.8835520275862068
5173,20,1949402,2009931,109,14,7439,2.8709,0.0020468,PDYN,1.0,0.8835520275862068
55238,16,58690298,58753674,161,15,7838,2.859,0.0021252,SLC38A7,1.0,0.8835520275862068
6405,3,50157562,50236508,89,10,7519,2.8582,0.0021304,SEMA3F,1.0,0.8835520275862068
2893,11,105445800,105862819,567,25,7987,2.8559,0.0021455,GRIA4,1.0,0.8835520275862068
79020,7,42938223,42986689,82,3,7696,2.8522,0.0021711,C7orf25,1.0,0.8835520275862068
64983,7,42936804,42987456,84,4,7687,2.8502,0.0021843,MRPL32,1.0,0.8835520275862068
375341,3,49296030,49349864,39,5,7924,2.8421,0.0022408,C3orf62,1.0,0.8835520275862068
1373,2,211307406,211553831,425,24,7830,2.8327,0.0023079,CPS1,1.0,0.8835520275862068
5291,3,138361540,138588780,202,4,7607,2.8173,0.0024211,PIK3CB,1.0,0.8835520275862068
56006,19,44222851,44294142,104,10,7805,2.8156,0.0024344,SMG9,1.0,0.8835520275862068
201475,18,8574443,8649380,231,25,7868,2.8122,0.00246,RAB12,1.0,0.8835520275862068
8927,3,49556922,49718982,158,10,7956,2.8094,0.0024814,BSN,1.0,0.8835520275862068
10181,3,50091341,50166397,79,7,7868,2.8032,0.0025296,RBM5,1.0,0.8835520275862068
83850,3,138118415,138207910,71,10,7566,2.802,0.0025397,ESYT3,1.0,0.8835520275862068
2984,12,14755566,14884519,131,9,7897,2.8003,0.0025529,GUCY2C,1.0,0.8835520275862068
5915,3,25180638,25649423,1319,69,7673,2.7901,0.0026344,RARB,1.0,0.8835520275862068
