GENE,CHR,START,STOP,NSNPS,NPARAM,N,ZSTAT,P,symbol,P_bonf,P_fdr
1773,16,3626772,3722689,168,6,7714,3.8611,5.6433e-05,DNASE1,1.0,0.5856068799999999
84464,16,3621182,3696585,144,4,7934,3.8047,7.098e-05,SLX4,1.0,0.5856068799999999
64763,19,42544057,42595719,18,2,7530,3.475,0.00025539,ZNF574,1.0,0.5856068799999999
197358,16,3579033,3662392,153,4,7839,3.4662,0.00026396,NLRC3,1.0,0.5856068799999999
84895,9,131763899,131844361,41,8,6949,3.4542,0.00027596,FAM73B,1.0,0.5856068799999999
284306,19,57839891,57900927,147,16,8050,3.4526,0.0002776,ZNF547,1.0,0.5856068799999999
83650,8,11153495,11199695,90,4,7805,3.4455,0.00028505,SLC35G5,1.0,0.5856068799999999
8600,13,43101872,43192149,144,10,8043,3.4433,0.00028732,TNFSF11,1.0,0.5856068799999999
7249,16,2062472,2148713,79,13,6890,3.424,0.00030854,TSC2,1.0,0.5856068799999999
2901,19,42492468,42609278,36,4,7417,3.4101,0.00032465,GRIK5,1.0,0.5856068799999999
114825,5,159492889,159581452,95,9,7626,3.3843,0.00035684,PWWP2A,1.0,0.5856068799999999
57343,19,57827645,57881266,163,16,7974,3.2955,0.00049121,ZNF304,1.0,0.6363129422222221
10666,18,67520192,67659412,122,11,7929,3.2693,0.00053905,CD226,1.0,0.6363129422222221
6434,3,185622356,185690924,132,17,7688,3.2558,0.0005654,TRA2B,1.0,0.6363129422222221
58505,4,109536741,109598978,96,6,7832,3.2554,0.00056625,OSTC,1.0,0.6363129422222221
66036,8,11107000,11195655,202,11,7697,3.2427,0.00059212,MTMR9,1.0,0.6363129422222221
11226,12,51735654,51820739,132,23,7613,3.2311,0.00061652,GALNT6,1.0,0.6363129422222221
10131,16,3698038,3802598,90,16,6773,3.2229,0.00063448,TRAP1,1.0,0.6363129422222221
56904,9,131760313,131825604,41,5,7163,3.1888,0.00071442,SH3GLB2,1.0,0.6521251570370371
182,20,10608332,10689694,127,22,7584,3.1693,0.0007641,JAG1,1.0,0.6521251570370371
84520,14,93659237,93708459,94,13,7920,3.1464,0.00082638,C14orf142,1.0,0.6521251570370371
84722,1,109812176,109860790,67,12,7249,3.144,0.00083332,PSRC1,1.0,0.6521251570370371
345651,5,56765843,56813636,88,13,7972,3.132,0.00086809,ACTBL2,1.0,0.6521251570370371
23166,3,52494354,52568512,89,7,7300,3.1196,0.00090536,STAB1,1.0,0.6521251570370371
7565,19,57887529,57943307,71,8,7923,3.1116,0.00093031,ZNF17,1.0,0.6521251570370371
4211,2,66627257,66809891,182,22,7731,3.099,0.00097101,MEIS1,1.0,0.6521251570370371
390594,15,65334154,65382276,49,5,7758,3.0976,0.00097537,KBTBD13,1.0,0.6521251570370371
123264,15,65302708,65355734,45,5,7550,3.0763,0.0010479,SLC51B,1.0,0.6593056258064517
11188,3,52454524,52537088,74,4,7157,3.0602,0.0011058,NISCH,1.0,0.6593056258064517
51285,15,65327919,65395707,57,6,7802,3.0593,0.0011092,RASL12,1.0,0.6593056258064517
22909,15,31156703,31245311,128,11,7806,3.0532,0.0011322,FAN1,1.0,0.6593056258064517
51776,2,173905440,174142737,351,23,7587,3.0219,0.0012559,ZAK,1.0,0.6860821882352941
7134,3,52475107,52523057,54,3,7120,3.0197,0.001265,TNNC1,1.0,0.6860821882352941
56920,3,52457268,52514112,53,3,7145,3.0133,0.0012922,SEMA3G,1.0,0.6860821882352941
9351,16,2041869,2099027,91,13,6918,2.9849,0.0014184,SLC9A3R2,1.0,0.6863476588235293
80745,2,39953200,40041416,130,4,7677,2.975,0.001465,THUMPD2,1.0,0.6863476588235293
2172,5,159579374,159675729,300,16,7662,2.9616,0.0015303,FABP6,1.0,0.6863476588235293
147694,19,57866218,57923919,73,9,7926,2.9605,0.0015356,ZNF548,1.0,0.6863476588235293
123263,15,65283850,65356977,64,6,7620,2.9595,0.0015407,MTFMT,1.0,0.6863476588235293
1408,11,45833669,45914799,110,10,7569,2.9594,0.001541,CRY2,1.0,0.6863476588235293
399947,11,109257570,109309893,17,2,7854,2.9483,0.0015976,C11orf87,1.0,0.6863476588235293
8019,9,136885427,136968655,258,12,7812,2.9393,0.001645,BRD3,1.0,0.6863476588235293
5452,19,42580262,42671625,50,2,7875,2.9258,0.0017181,POU2F2,1.0,0.6863476588235293
55148,14,93638401,93705561,120,17,7824,2.9171,0.0017663,UBR7,1.0,0.6863476588235293
152185,3,113151565,113269034,187,11,7901,2.9017,0.0018554,SPICE1,1.0,0.6863476588235293
6345,16,4229375,4327081,195,25,7569,2.9004,0.0018634,SRL,1.0,0.6863476588235293
388567,19,57911693,57967291,73,12,7682,2.8991,0.0018714,ZNF749,1.0,0.6863476588235293
79020,7,42938223,42986689,82,3,7710,2.893,0.001908,C7orf25,1.0,0.6863476588235293
64983,7,42936804,42987456,84,4,7701,2.8905,0.0019231,MRPL32,1.0,0.6863476588235293
5648,3,186923873,187044810,224,30,7826,2.8747,0.0020219,MASP1,1.0,0.6863476588235293
406,11,13264325,13418813,285,19,7710,2.8734,0.0020307,ARNTL,1.0,0.6863476588235293
152789,4,6016661,6237318,332,53,7353,2.8678,0.0020667,JAKMIP1,1.0,0.6863476588235293
125919,19,57796865,57852144,185,21,7912,2.8612,0.0021104,ZNF543,1.0,0.6863476588235293
51199,14,51176481,51332839,283,31,7659,2.8499,0.0021867,NIN,1.0,0.6863476588235293
29943,1,17496621,17582501,227,18,7858,2.8442,0.0022262,PADI1,1.0,0.6863476588235293
64901,5,170253880,170737454,625,11,8054,2.8435,0.0022308,RANBP17,1.0,0.6863476588235293
494143,2,53959929,54012320,93,11,8110,2.8408,0.0022501,CHAC2,1.0,0.6863476588235293
8106,14,23754397,23805394,45,7,7128,2.8395,0.0022589,PABPN1,1.0,0.6863476588235293
84662,16,4331240,4399598,57,9,7283,2.8361,0.0022832,GLIS2,1.0,0.6863476588235293
441168,6,116747533,116794948,86,11,7939,2.8319,0.0023134,FAM26F,1.0,0.6863476588235293
131034,3,131242413,131794152,1696,48,7955,2.8147,0.0024414,CPNE4,1.0,0.6863476588235293
2878,5,150364999,150418554,129,17,7847,2.8138,0.0024478,GPX3,1.0,0.6863476588235293
26872,7,89748689,89804141,89,8,7573,2.8125,0.0024582,STEAP1,1.0,0.6863476588235293
90673,14,23754861,23807071,45,7,7140,2.8087,0.0024871,PPP1R3E,1.0,0.6863476588235293
10692,4,110714150,110775863,84,6,7590,2.8078,0.0024937,RRH,1.0,0.6863476588235293
81932,9,116125698,116174289,114,25,7511,2.8015,0.0025435,HDHD3,1.0,0.6863476588235293
64112,14,93638541,93686249,85,13,7808,2.7993,0.0025609,MOAP1,1.0,0.6863476588235293
100529063,14,23740971,23805394,53,9,7083,2.7962,0.0025854,BCL2L2-PABPN1,1.0,0.6863476588235293
224,17,19517064,19590908,81,5,8170,2.7905,0.0026312,ALDH3A2,1.0,0.6883829333333333
23237,8,143682405,143730833,133,11,7335,2.7782,0.0027333,ARC,1.0,0.7013837633802817
165186,2,29169164,29285096,346,25,7524,2.7752,0.0027586,FAM179A,1.0,0.7013837633802817
389432,6,147794807,148068677,733,45,7744,2.762,0.0028724,SAMD5,1.0,0.7192258324324324
6461,9,37905895,38104210,338,13,8008,2.7567,0.0029196,SHB,1.0,0.7192258324324324
3908,6,129169286,129847711,1208,45,7813,2.7535,0.0029483,LAMA2,1.0,0.7192258324324324
219854,11,124954266,125016659,182,27,7638,2.7322,0.0031453,TMEM218,1.0,0.7570527413333333
599,14,23740971,23800241,46,8,7112,2.7204,0.0032601,BCL2L2,1.0,0.7743595421052633
