GENE       CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P
401934       1     997126    1044687     65       6  7328    0.0083294      0.49668
54991        1    1007198    1086736    107       6  7581      0.47687      0.31673
254173       1    1074286    1143315     81       8  6795       1.0292       0.1517
8784         1    1128888    1177163    131       5  7515      0.35896      0.35981
126792       1    1132629    1180421    122       4  7592      0.39108      0.34787
7293         1    1136706    1184703    116       3  7691       0.4425      0.32906
51150        1    1142288    1202447    121       4  7635      0.61729      0.26852
388581       1    1167826    1217102     43       4  7097       1.2781       0.1006
118424       1    1179292    1244234     24       4  6759       1.3158     0.094125
6339         1    1180816    1237409     23       4  6746       1.2828     0.099785
126789       1    1208962    1257057     10       1  6732      -1.0806      0.86005
116983       1    1217764    1278304      1       1  6353    -0.076778       0.5306
54973        1    1236965    1295067      8       1  7092    -0.067747      0.52701
1855         1    1260658    1319509     26       1  7079     -0.16325      0.56484
54587        1    1278071    1332183     28       1  7076     -0.18864      0.57481
54998        1    1299110    1345818     18       1  7050     -0.23005      0.59097
81669        1    1311091    1369718     16       1  7050     -0.24521      0.59685
643965       1    1326508    1373167      4       1  7050     -0.41922      0.66247
55052        1    1327276    1377693      4       1  7050     -0.41922      0.66247
64856        1    1335903    1388262      2       1  7049     -0.44691      0.67253
55210        1    1412523    1480067      5       1  7000     -0.31836       0.6249
339453       1    1460158    1510740     35       2  6829       -1.021      0.84637
29101        1    1467053    1545262     37       2  6823      -1.0432      0.85158
9906         1    1646277    1712438     27       4  7439      -1.3999      0.91922
65220        1    1672671    1746508     48       5  7607      -1.5275      0.93668
2782         1    1706725    1857552    132       8  7542      -1.3328       0.9087
163688       1    1811266    1858733     65       5  7317      -1.0233      0.84693
339456       1    1839029    1885740     62       4  7030      -1.2131      0.88745
85452        1    1843390    1970276     63       5  7095      -1.4808      0.93067
5590         1    1946909    2126834    243      16  7319       1.2852     0.099355
100506504    1    2103250    2150812     39       6  7306      0.84602      0.19877
199990       1    2105899    2179159     78      12  7365      0.82792      0.20386
6497         1    2125134    2251652    161      22  7245      0.17801      0.42936
79906        1    2241719    2358190    202      27  7213      0.24758      0.40223
11079        1    2288214    2346883    101      19  7184      0.24775      0.40217
5192         1    2326241    2379010     34       7  7000      -1.1755       0.8801
9651         1    2372754    2446964     62       6  7009     -0.29815      0.61721
55229        1    2429975    2493061     79       6  7158     -0.19241      0.57629
388585       1    2450184    2496684     45       5  7320     0.011723      0.49532
8764         1    2452291    2505268     60       4  7579      0.31008      0.37825
127281       1    2482899    2532908     90       4  7992      0.61203      0.27026
79258        1    2512078    2599499    130       4  8001      0.69326      0.24407
100287898    1    2562807    2741230     62       4  7576      0.14581      0.44203
140625       1    2903046    2949467    132       3  7658      0.70121      0.24159
63976        1    2950565    3365185    778      81  7463      -0.7854      0.78389
27237        1    3336147    3407677    100       7  7210     -0.33797      0.63231
1953         1    3394506    3563059    205      33  6806      0.48615      0.31343
127262       1    3506556    3556695     54      11  7130      0.89942      0.18421
7161         1    3534129    3662765    127      25  6876       2.2297     0.012884
49856        1    3537331    3601671     61      11  7130       1.1226      0.13079
148870       1    3633965    3698209    134      18  7379      0.72081      0.23551
388588       1    3654352    3702546    132      15  7605      0.71246      0.23809
57470        1    3686784    3748068    221      16  7707    -0.096474      0.53843
9731         1    3718645    3808797    323      15  7559     0.013804      0.49449
1677         1    3738845    3811993    256      16  7546      0.15342      0.43903
