GENE       CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P
401934       1     997126    1044687     65       6  7340      -0.1867      0.57405
54991        1    1007198    1086736    107       6  7596      0.64648      0.25898
254173       1    1074286    1143315     81       8  6805     -0.65064      0.74236
8784         1    1128888    1177163    131       5  7532      0.53755      0.29544
126792       1    1132629    1180421    122       4  7610      0.62317      0.26659
7293         1    1136706    1184703    116       3  7704      0.72437      0.23442
51150        1    1142288    1202447    121       4  7648       0.8134      0.20799
388581       1    1167826    1217102     43       4  7114         1.28      0.10027
118424       1    1179292    1244234     24       4  6760       1.3151      0.09423
6339         1    1180816    1237409     23       4  6748       1.3355     0.090858
126789       1    1208962    1257057     10       1  6735      0.84036      0.20035
116983       1    1217764    1278304      1       1  6355      -1.0916       0.8625
54973        1    1236965    1295067      8       1  7095      0.20971      0.41695
1855         1    1260658    1319509     26       1  7082       0.3973      0.34557
54587        1    1278071    1332183     28       1  7079      0.39761      0.34546
54998        1    1299110    1345818     18       1  7053      0.55688       0.2888
81669        1    1311091    1369718     16       1  7053      0.54322      0.29349
643965       1    1326508    1373167      4       1  7053      0.34177      0.36626
55052        1    1327276    1377693      4       1  7053      0.34177      0.36626
64856        1    1335903    1388262      2       1  7052      0.33083      0.37039
55210        1    1412523    1480067      5       1  7002      0.51409       0.3036
339453       1    1460158    1510740     35       2  6832        0.218      0.41372
29101        1    1467053    1545262     37       2  6825      0.17848      0.42917
9906         1    1646277    1712438     27       4  7441      0.24074      0.40488
65220        1    1672671    1746508     48       5  7610    -0.015304       0.5061
2782         1    1706725    1857552    132       8  7544      -0.3248      0.62733
163688       1    1811266    1858733     65       5  7319     -0.13391      0.55326
339456       1    1839029    1885740     63       4  7017     -0.11213      0.54464
85452        1    1843390    1970276     64       5  7081     -0.28769      0.61321
5590         1    1946909    2126834    245      16  7319     -0.26024      0.60266
100506504    1    2103250    2150812     39       6  7308      -0.2259      0.58936
199990       1    2105899    2179159     78      12  7375    -0.089578      0.53569
6497         1    2125134    2251652    161      22  7256     0.074935      0.47013
79906        1    2241719    2358190    202      27  7214     -0.30113      0.61834
11079        1    2288214    2346883    101      19  7185     -0.34639      0.63548
5192         1    2326241    2379010     34       7  7003      -1.0658      0.85675
9651         1    2372754    2446964     62       6  7042     -0.77042      0.77948
55229        1    2429975    2493061     79       6  7169     -0.49781      0.69069
388585       1    2450184    2496684     45       5  7322     -0.19342      0.57669
8764         1    2452291    2505268     60       4  7581     -0.19336      0.57666
127281       1    2482899    2532908     90       4  7995      0.19066       0.4244
79258        1    2512078    2599499    130       4  8004       0.3966      0.34583
100287898    1    2562807    2741230     62       4  7599    -0.062919      0.52508
140625       1    2903046    2949467    132       3  7690      -1.6883      0.95432
63976        1    2950565    3365185    778      81  7475      -2.0606      0.98033
27237        1    3336147    3407677    100       7  7219      -1.0398      0.85079
1953         1    3394506    3563059    205      33  6809     -0.32129        0.626
127262       1    3506556    3556695     54      11  7120       1.2317      0.10903
7161         1    3534129    3662765    127      25  6878        1.941     0.026131
49856        1    3537331    3601671     61      11  7122       1.7821     0.037365
148870       1    3633965    3698209    134      18  7390       0.2052      0.41871
388588       1    3654352    3702546    132      15  7617      0.37682      0.35315
57470        1    3686784    3748068    221      16  7718      0.10524      0.45809
9731         1    3718645    3808797    323      15  7569      0.14776      0.44127
1677         1    3738845    3811993    256      16  7556      0.22077      0.41264
339448       1    3795697    3851857     75       6  7179    -0.028894      0.51153
55966        1    4680105    4853851    502      64  7612      0.81793       0.2067
261734       1    5912870    6087618    355      13  8000     -0.67463      0.75004
8514         1    6017358    6171253    236      25  7684     -0.55985      0.71221
26038        1    6151847    6275194    217      25  7265      0.44941      0.32657
388591       1    6231189    6291359     38       7  7407      -1.1881      0.88261
6146         1    6235080    6294679     35       6  7418      -1.1411      0.87308
390992       1    6269252    6315638     33       5  7275     -0.38873      0.65126
23463        1    6271253    6331044     49       4  7097     -0.33874       0.6326
387509       1    6297406    6356035     62       7  7138     -0.43096      0.66675
11332        1    6314332    6488826    233      12  7601     -0.47542      0.68276
83715        1    6449836    6531004    134       9  7690      -1.7081      0.95619
54626        1    6465292    6519724     70       5  7721      -1.5448       0.9388
8718         1    6510787    6562432     46       7  7193     -0.46583      0.67933
57449        1    6516152    6615121    166       8  7572      0.25339      0.39998
79707        1    6571407    6649658    138       3  7619      0.55429      0.28969
80835        1    6579987    6649817    118       2  7750      0.39088      0.34794
3104         1    6605051    6659340     65       4  7525      0.42785      0.33438
148479       1    6638756    6694093     55       5  8087     -0.93099      0.82407
9903         1    6640784    6697958     64       5  8105     -0.70915      0.76088
90326        1    6649925    6705646     69       6  8105     -0.76095      0.77666
55735        1    6684228    6796966    180      11  7910     -0.64302       0.7399
23261        1    6810384    7839766   1874     125  7774     -0.38044      0.64819
9341         1    7796329    7851492    117      17  7967       1.1469      0.12571
8863         1    7809413    7915241    253      18  8054        1.607     0.054023
10911        1    7897672    7948551    171      18  7920       2.5008    0.0061951
3604         1    7965931    8038225     69       8  7040     0.099877      0.46022
11315        1    7986714    8055342     72       6  7231     -0.35035      0.63696
54206        1    8061779    8121393     65       5  7632     -0.33673      0.63184
50651        1    8343171    8414227    123      13  7054      0.54398      0.29323
473          1    8402464    8912699    530      13  7926      0.79671      0.21281
2023         1    8911059    8974151     91      10  7516      -0.1401      0.55571
765          1    8970893    9045151    167      27  7407     -0.57968      0.71893
155184       1    9053359    9121404    140      18  7390     -0.76736      0.77857
6518         1    9087005    9166763    188      16  7555      0.77535      0.21907
80045        1    9153472    9224229    118      12  7433      0.67818      0.24883
9563         1    9259822    9341396    235      24  7430      -1.4071      0.92029
80176        1    9300202    9439591    329      44  7217      -1.5221      0.93601
84275        1    9564528    9652831     55       2  7627      0.87336      0.19123
199953       1    9613932    9684935     55       3  7824     0.061843      0.47534
5293         1    9676789    9799172    109      15  6944     -0.34191      0.63379
22883        1    9779079    9919550     97       7  7176     -0.03619      0.51443
56998        1    9898334   10005316     68       8  7312     -0.85835      0.80465
64802        1    9968486   10055556     76       6  7341     -0.36189      0.64128
84328        1    9972168   10038460     63       5  7440     -0.25647      0.60121
116362       1   10022255   10086078     40       3  7110      -0.8059      0.78985
10277        1   10058041   10251297     62       6  7278    -0.098919       0.5394
23095        1   10235606   10451664    259       5  7882        1.442     0.074651
5226         1   10423884   10490565    103       7  7639       1.3832     0.083301
378708       1   10454944   10520239    100       9  7822       1.3797     0.083843
100526739    1   10455159   10522060     98       8  7817       1.3951     0.081491
1325         1   10474776   10522060     77       6  7889       1.1772      0.11955
5195         1   10500003   10700815    303      15  7997       1.6836     0.046128
1676         1   10510588   10567613     90       6  8062       1.3503     0.088461
54897        1   10686661   10891733    140      31  6959     -0.52214      0.69921
148345       1   10996530   11077094    103      12  7048       0.8212      0.20577
23435        1   11037462   11095549     64       5  7125      0.51411      0.30359
10747        1   11076580   11142296     73       2  7624     -0.31068      0.62198
6723         1   11104649   11155091     46       1  7680     0.093265      0.46285
5394         1   11116675   11194961     50       1  7817      0.28121      0.38928
2475         1   11156588   11357614    111       2  7866      0.65871      0.25504
10218        1   11214346   11266038     19       1  7949      0.61453      0.26943
29914        1   11298255   11358491     33       1  7670      0.44705      0.32742
57540        1   11504295   11607640    208      13  7565     -0.30319      0.61913
93611        1   11679432   11733384     63      10  7073     0.046561      0.48143
26270        1   11689150   11744411     66      14  7021     -0.28858      0.61355
26232        1   11697924   11749888     43      12  6889     -0.31037      0.62186
374946       1   11716781   11790336     78      17  7001      -0.1291      0.55136
10459        1   11724537   11786678     70      15  7012     0.077219      0.46922
57085        1   11761142   11820828     74      14  7170     -0.83533      0.79823
284498       1   11788827   11859642    194      16  7658      0.14068      0.44406
1185         1   11831153   11913201    333      14  7853       0.3184      0.37509
4524         1   11835787   11901160    266      12  7855      0.31555      0.37617
4878         1   11895766   11942840    159      18  7655      0.81922      0.20633
4879         1   11907521   11953992    144      14  7728       1.7802     0.037524
5351         1   11959724   12045599    198      16  7929       2.3672    0.0089615
90231        1   11969645   12021485    128      12  7970       2.4667    0.0068184
9927         1   12005238   12083572    173      16  7992       1.8237     0.034101
60672        1   12044299   12102106    101      11  7772      0.59233      0.27682
943          1   12088434   12214264    163      28  7178      0.18177      0.42788
7133         1   12192044   12279279     85      11  7308      -1.0585      0.85508
55187        1   12255101   12582099     90      13  7104      -2.9427      0.99837
9249         1   12617939   12712820    157      21  7381      -1.2552       0.8953
343066       1   12669566   12737097     63      12  7159      0.03132      0.48751
126767       1   12741118   12798726    106      10  7524      0.35939      0.35965
93190        1   12771163   12831102    134       7  7929      0.54164      0.29403
390999       1   12799984   12848049     70       5  8060      0.50187      0.30788
65121        1   12816546   12866777     35       3  7964       0.2672      0.39466
126755       1   13791445   13875242    180      25  7398     -0.96158      0.83187
10630        1   13875252   13954452    135      24  7338      0.38232      0.35111
7799         1   13991714   14161574    216      18  7830       0.1722      0.43164
23254        1   14184646   15454544   3089     229  7565    -0.083122      0.53312
55092        1   15444028   15556974    503      27  7843      0.66116      0.25425
727684       1   15480692   15533120    229      20  7817      0.79666      0.21283
114827       1   15538730   15734767    472      41  7666       1.1246      0.13037
79180        1   15701391   15766839     98       9  7674      0.76271      0.22282
11330        1   15729938   15783153     67      12  7344      0.20571      0.41851
63036        1   15748223   15808586     88      12  7416     -0.47807       0.6837
51032        1   15767596   15827895    129      14  7750     0.030068      0.48801
842          1   15807896   15886407    191       7  8213        1.098       0.1361
23341        1   15818343   15908228    198       7  8191       1.1536      0.12433
79814        1   15888194   15946605    191       7  7943     0.089109       0.4645
84301        1   15908953   16005539    257       6  7987     -0.57556      0.71754
6248         1   15951364   15998217     83       3  8131      -1.2147      0.88775
